home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,home_manager,home_captain,away_manager,away_captain,home_goals,away_goals,Attendance,Venue,Officials,Date,Score,Referee,Notes,Round,Host,Year
Qatar,Ecuador,0.0,0.3,,2.0,1.2,,Félix Sánchez,Hassan Al-Haydos,Gustavo Alfaro,Enner Valencia,,Enner Valencia (P) · 16|Enner Valencia · 31,67372.0,"Al Bayt Stadium, Al Khor",Daniele Orsato (Referee) · Ciro Carbone (AR1) · Alessandro Giallatini (AR2) · István Kovács (4th) · Massimiliano Irrati (VAR),2022-11-20,0–2,Daniele Orsato,,,Qatar,2022
England,IR Iran,6.0,2.1,,2.0,1.3,,Gareth Southgate,Harry Kane,Carlos Queiroz,Ehsan Hajsafi,Jude Bellingham · 35|Bukayo Saka · 43|Raheem Sterling · 45+1|Bukayo Saka · 62|Marcus Rashford · 71|Jack Grealish · 90,Mehdi Taremi · 65|Mehdi Taremi (P) · 90+13,45334.0,"Khalifa International Stadium, Doha",Raphael Claus (Referee) · Rodrigo Figueiredo Henrique Correa (AR1) · Danilo Manis (AR2) · Kevin Ortega (4th) · Leodán González (VAR),2022-11-21,6–2,Raphael Claus,,,Qatar,2022
United States,Wales,1.0,0.8,,1.0,1.5,,Gregg Berhalter,Tyler Adams,Rob Page,Gareth Bale,Timothy Weah · 36,Gareth Bale (P) · 82,43418.0,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Abdulrahman Ibrahim Al Jassim (Referee) · Taleb Salem Al Marri (AR1) · Saoud Ahmed Al Maqaleh (AR2) · Ma Ning (4th) · Abdulla Ali Al Marri (VAR),2022-11-21,1–1,Abdulrahman Ibrahim Al Jassim,,,Qatar,2022
Senegal,Netherlands,0.0,0.9,,2.0,0.7,,Aliou Cissé,Kalidou Koulibaly,Louis van Gaal,Virgil van Dijk,,Cody Gakpo · 84|Davy Klaassen · 90+9,41721.0,"Al Thumama Stadium, ath-Thumāma",Wilton Sampaio (Referee) · Bruno Boschilia (AR1) · Bruno Pires (AR2) · Andrés Matonte (4th) · Juan Soto (VAR),2022-11-21,0–2,Wilton Sampaio,,,Qatar,2022
France,Australia,,,,,,,,,,,,,,,,2022-11-22,,,,,Qatar,2022
Mexico,Poland,,,,,,,,,,,,,,,,2022-11-22,,,,,Qatar,2022
Denmark,Tunisia,,,,,,,,,,,,,,,,2022-11-22,,,,,Qatar,2022
Argentina,Saudi Arabia,,,,,,,,,,,,,,,,2022-11-22,,,,,Qatar,2022
Belgium,Canada,,,,,,,,,,,,,,,,2022-11-23,,,,,Qatar,2022
Spain,Costa Rica,,,,,,,,,,,,,,,,2022-11-23,,,,,Qatar,2022
Germany,Japan,,,,,,,,,,,,,,,,2022-11-23,,,,,Qatar,2022
Morocco,Croatia,,,,,,,,,,,,,,,,2022-11-23,,,,,Qatar,2022
Switzerland,Cameroon,,,,,,,,,,,,,,,,2022-11-24,,,,,Qatar,2022
Uruguay,Korea Republic,,,,,,,,,,,,,,,,2022-11-24,,,,,Qatar,2022
Portugal,Ghana,,,,,,,,,,,,,,,,2022-11-24,,,,,Qatar,2022
Brazil,Serbia,,,,,,,,,,,,,,,,2022-11-24,,,,,Qatar,2022
England,United States,,,,,,,,,,,,,,,,2022-11-25,,,,,Qatar,2022
Netherlands,Ecuador,,,,,,,,,,,,,,,,2022-11-25,,,,,Qatar,2022
Qatar,Senegal,,,,,,,,,,,,,,,,2022-11-25,,,,,Qatar,2022
Wales,IR Iran,,,,,,,,,,,,,,,,2022-11-25,,,,,Qatar,2022
Tunisia,Australia,,,,,,,,,,,,,,,,2022-11-26,,,,,Qatar,2022
Argentina,Mexico,,,,,,,,,,,,,,,,2022-11-26,,,,,Qatar,2022
France,Denmark,,,,,,,,,,,,,,,,2022-11-26,,,,,Qatar,2022
Poland,Saudi Arabia,,,,,,,,,,,,,,,,2022-11-26,,,,,Qatar,2022
Spain,Germany,,,,,,,,,,,,,,,,2022-11-27,,,,,Qatar,2022
Belgium,Morocco,,,,,,,,,,,,,,,,2022-11-27,,,,,Qatar,2022
Japan,Costa Rica,,,,,,,,,,,,,,,,2022-11-27,,,,,Qatar,2022
Croatia,Canada,,,,,,,,,,,,,,,,2022-11-27,,,,,Qatar,2022
Portugal,Uruguay,,,,,,,,,,,,,,,,2022-11-28,,,,,Qatar,2022
Brazil,Switzerland,,,,,,,,,,,,,,,,2022-11-28,,,,,Qatar,2022
Korea Republic,Ghana,,,,,,,,,,,,,,,,2022-11-28,,,,,Qatar,2022
Cameroon,Serbia,,,,,,,,,,,,,,,,2022-11-28,,,,,Qatar,2022
IR Iran,United States,,,,,,,,,,,,,,,,2022-11-29,,,,,Qatar,2022
Wales,England,,,,,,,,,,,,,,,,2022-11-29,,,,,Qatar,2022
Ecuador,Senegal,,,,,,,,,,,,,,,,2022-11-29,,,,,Qatar,2022
Netherlands,Qatar,,,,,,,,,,,,,,,,2022-11-29,,,,,Qatar,2022
Tunisia,France,,,,,,,,,,,,,,,,2022-11-30,,,,,Qatar,2022
Saudi Arabia,Mexico,,,,,,,,,,,,,,,,2022-11-30,,,,,Qatar,2022
Poland,Argentina,,,,,,,,,,,,,,,,2022-11-30,,,,,Qatar,2022
Australia,Denmark,,,,,,,,,,,,,,,,2022-11-30,,,,,Qatar,2022
Costa Rica,Germany,,,,,,,,,,,,,,,,2022-12-01,,,,,Qatar,2022
Japan,Spain,,,,,,,,,,,,,,,,2022-12-01,,,,,Qatar,2022
Croatia,Belgium,,,,,,,,,,,,,,,,2022-12-01,,,,,Qatar,2022
Canada,Morocco,,,,,,,,,,,,,,,,2022-12-01,,,,,Qatar,2022
Cameroon,Brazil,,,,,,,,,,,,,,,,2022-12-02,,,,,Qatar,2022
Serbia,Switzerland,,,,,,,,,,,,,,,,2022-12-02,,,,,Qatar,2022
Ghana,Uruguay,,,,,,,,,,,,,,,,2022-12-02,,,,,Qatar,2022
Korea Republic,Portugal,,,,,,,,,,,,,,,,2022-12-02,,,,,Qatar,2022
